Ice,category,Product Name,Milk,Whip,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Caffeine
Hot,Espresso,Cinnamon Dolce Latte,Soy,Whip,240,10,4.5,0.2,20,100,28,1,25,8,15 ,0 ,30 ,15 ,75
Hot,Espresso,Cinnamon Dolce Latte,Coconut,No Whip,160,6,6,0,0,110,27,0,26,1,0 ,0 ,0 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,Coconut,Whip,230,12,9,0.2,20,115,29,0,28,1,6 ,0 ,2 ,0 ,75
Hot,Espresso,Flat White,Nonfat,,100,0.2,0.2,0,5,115,15,0,13,10,15 ,0 ,30 ,0 ,130
Hot,Espresso,Flat White,2%,,140,5,3.5,0.2,20,130,14,0,13,9,15 ,0 ,30 ,0 ,130
Hot,Espresso,Flat White,Whole,,170,9,5,0.3,25,115,14,0,13,9,15 ,0 ,30 ,0 ,130
Hot,Espresso,Flat White,Soy,,110,4,0.5,0,0,100,10,1,6,8,10 ,0 ,30 ,15 ,130
Hot,Espresso,Flat White,Coconut,,100,6,6,0,0,110,11,0,9,1,0 ,0 ,0 ,0 ,130
Hot,Espresso,Latte Macchiato,Nonfat,,100,0.2,0.2,0,5,115,15,0,13,10,15 ,0 ,30 ,0 ,150
Hot,Espresso,Latte Macchiato,2%,,140,5,3.5,0.2,20,130,15,0,13,9,15 ,0 ,30 ,0 ,150
Hot,Espresso,Latte Macchiato,Whole,,170,9,5,0.3,25,115,15,0,13,9,15 ,0 ,30 ,0 ,150
Hot,Espresso,Latte Macchiato,Soy,,110,4,0.5,0,0,100,10,1,6,8,10 ,0 ,30 ,15 ,150
Hot,Espresso,Latte Macchiato,Coconut,,100,6,6,0,0,110,11,0,9,1,0 ,0 ,0 ,0 ,150
Hot,Espresso,Skinny Cinnamon Dolce Latte,Nonfat,,100,0.2,0.1,0,5,125,14,0,13,9,15 ,0 ,30 ,0 ,75
Ice,Espresso,Iced Skinny Cinnamon Dolce Latte,Nonfat,,60,0.1,0.1,0,5,80,9,0,8,6,10 ,0 ,20 ,0 ,75
Hot,Espresso,Skinny Mocha,Nonfat,,130,1,1,0.1,5,115,18,3,12,11,15 ,0 ,30 ,45 ,75
Ice,Espresso,Iced Skinny Mocha,Nonfat,,90,1,0.5,0.1,5,75,13,3,7,7,8 ,0 ,15 ,45 ,75
Ice,Espresso,Starbucks Doubleshot on Ice,Nonfat,,70,0,0,0,0,35,14,0,13,3,4 ,0 ,8 ,0 ,150
Ice,Espresso,Starbucks Doubleshot on Ice,2%,,80,1,1,0.1,5,35,14,0,13,3,4 ,0 ,8 ,0 ,150
Ice,Espresso,Starbucks Doubleshot on Ice,Whole,,90,2,1,0.1,5,35,14,0,13,2,2 ,0 ,8 ,0 ,150
Ice,Espresso,Starbucks Doubleshot on Ice,Soy,,70,1,0.1,0,0,30,13,0,11,2,2 ,0 ,8 ,4 ,150
